     40 | 2017:03:09 - 20:41:13.7509 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    3976 |     60
     41 | 2017:03:09 - 20:41:17.7521 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     42 | 2017:03:09 - 20:41:18.4631 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3979 |                            208.85.40.50 |                                     443 |     66
     43 | 2017:03:09 - 20:41:18.4651 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   49984 |                             192.168.1.1 |                                      53 |     75
     44 | 2017:03:09 - 20:41:18.4681 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   49984 |    107
     45 | 2017:03:09 - 20:41:18.4701 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   62241 |                             192.168.1.1 |                                      53 |     75
     46 | 2017:03:09 - 20:41:18.4731 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   62241 |    107
     47 | 2017:03:09 - 20:41:18.4751 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    3979 |     62
     48 | 2017:03:09 - 20:41:18.4781 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3979 |                            208.85.40.50 |                                     443 |     54
     49 | 2017:03:09 - 20:41:18.4821 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3979 |                            208.85.40.50 |                                     443 |    290
     50 | 2017:03:09 - 20:41:18.4841 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    3979 |     54
     51 | 2017:03:09 - 20:41:18.4871 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    3979 |    219
     52 | 2017:03:09 - 20:41:18.4891 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3979 |                            208.85.40.50 |                                     443 |    129
     53 | 2017:03:09 - 20:41:18.4921 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3979 |                            208.85.40.50 |                                     443 |   1506
     54 | 2017:03:09 - 20:41:18.4951 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3979 |                            208.85.40.50 |                                     443 |   1506
     55 | 2017:03:09 - 20:41:18.4971 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    3979 |     60
     56 | 2017:03:09 - 20:41:18.5001 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    3979 |     60
     57 | 2017:03:09 - 20:41:18.5021 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    3979 |     60
     58 | 2017:03:09 - 20:41:18.5041 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3979 |                            208.85.40.50 |                                     443 |   1506
     59 | 2017:03:09 - 20:41:18.5071 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3979 |                            208.85.40.50 |                                     443 |   1506
     60 | 2017:03:09 - 20:41:18.5101 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3979 |                            208.85.40.50 |                                     443 |    747
     61 | 2017:03:09 - 20:41:19.0382 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    3979 |     60
     62 | 2017:03:09 - 20:41:19.0412 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    3979 |     60
     63 | 2017:03:09 - 20:41:19.0442 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    3979 |    571
     64 | 2017:03:09 - 20:41:19.0462 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    3979 |   1506
     65 | 2017:03:09 - 20:41:19.0492 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3979 |                            208.85.40.50 |                                     443 |     54
