No.     | Time                       | NetPtc | Tran P | App Portoc | Source IP                               | Source Port                             | Destation IP                            | Destation Port                          | Length
      1 | 2017:03:09 - 21:00:07.6097 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
      2 | 2017:03:09 - 21:00:08.6218 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
      3 | 2017:03:09 - 21:00:08.6708 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4043 |                             52.84.24.21 |                                     443 |     55
      4 | 2017:03:09 - 21:00:08.7288 |   IPv4 |    TCP | Secure TCP |                             52.84.24.21 |                                     443 |                            192.168.1.20 |                                    4043 |     66
      5 | 2017:03:09 - 21:00:09.7298 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
      6 | 2017:03:09 - 21:00:10.7299 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
      7 | 2017:03:09 - 21:00:10.8199 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
      8 | 2017:03:09 - 21:00:13.8201 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
      9 | 2017:03:09 - 21:00:17.8203 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     10 | 2017:03:09 - 21:00:17.9523 |   IPv4 |    UDP |       mDNS |                            192.168.1.19 |                                    5353 |                             224.0.0.251 |                                    5353 |    183
     11 | 2017:03:09 - 21:00:18.9534 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4043 |                             52.84.24.21 |                                     443 |     55
     12 | 2017:03:09 - 21:00:19.1114 |   IPv4 |    TCP | Secure TCP |                             52.84.24.21 |                                     443 |                            192.168.1.20 |                                    4043 |     66
     13 | 2017:03:09 - 21:00:20.1124 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
     14 | 2017:03:09 - 21:00:20.2874 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     15 | 2017:03:09 - 21:00:21.2875 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
     16 | 2017:03:09 - 21:00:22.2876 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
     17 | 2017:03:09 - 21:00:23.2876 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     18 | 2017:03:09 - 21:00:27.2878 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     19 | 2017:03:09 - 21:00:29.2880 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4043 |                             52.84.24.21 |                                     443 |     55
     20 | 2017:03:09 - 21:00:29.5030 |   IPv4 |    TCP | Secure TCP |                             52.84.24.21 |                                     443 |                            192.168.1.20 |                                    4043 |     66
     21 | 2017:03:09 - 21:00:30.5040 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     22 | 2017:03:09 - 21:00:33.5042 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     23 | 2017:03:09 - 21:00:33.7802 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
     24 | 2017:03:09 - 21:00:34.0362 |    ARP |    ARP |        ARP |                       00:1B:2F:C7:02:01 |                            192.168.1.20 |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |     42
     25 | 2017:03:09 - 21:00:34.0382 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                       00:1B:2F:C7:02:01 |                            192.168.1.20 |     42
     26 | 2017:03:09 - 21:00:35.0383 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
     27 | 2017:03:09 - 21:00:35.0393 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   54919 |                             192.168.1.1 |                                      53 |     70
     28 | 2017:03:09 - 21:00:35.0403 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   54919 |     86
     29 | 2017:03:09 - 21:00:35.0413 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
     30 | 2017:03:09 - 21:00:37.0414 |   IPv4 |    TCP |        TCP |                            192.168.1.20 |                                    1365 |                         173.194.202.188 |                                    5228 |     91
     31 | 2017:03:09 - 21:00:37.3264 |   IPv4 |    TCP |        TCP |                         173.194.202.188 |                                    5228 |                            192.168.1.20 |                                    1365 |     91
     32 | 2017:03:09 - 21:00:37.3274 |   IPv4 |    TCP |        TCP |                            192.168.1.20 |                                    1365 |                         173.194.202.188 |                                    5228 |     54
     33 | 2017:03:09 - 21:00:37.5954 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     34 | 2017:03:09 - 21:00:38.5965 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4043 |                             52.84.24.21 |                                     443 |     55
     35 | 2017:03:09 - 21:00:38.8775 |   IPv4 |    TCP | Secure TCP |                             52.84.24.21 |                                     443 |                            192.168.1.20 |                                    4043 |     66
     36 | 2017:03:09 - 21:00:39.8786 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     37 | 2017:03:09 - 21:00:40.1696 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4154 |                            208.85.40.50 |                                     443 |     66
     38 | 2017:03:09 - 21:00:40.4556 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   49562 |                             192.168.1.1 |                                      53 |     75
     39 | 2017:03:09 - 21:00:40.4566 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   49562 |    107
     40 | 2017:03:09 - 21:00:40.4576 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   58510 |                             192.168.1.1 |                                      53 |     75
     41 | 2017:03:09 - 21:00:40.4586 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4154 |     62
     42 | 2017:03:09 - 21:00:40.4596 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   58510 |    107
     43 | 2017:03:09 - 21:00:40.4606 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4154 |                            208.85.40.50 |                                     443 |     54
     44 | 2017:03:09 - 21:00:40.4616 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4154 |                            208.85.40.50 |                                     443 |    290
     45 | 2017:03:09 - 21:00:40.4636 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4154 |     54
     46 | 2017:03:09 - 21:00:40.4646 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4154 |    219
     47 | 2017:03:09 - 21:00:40.4656 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4154 |                            208.85.40.50 |                                     443 |    129
     48 | 2017:03:09 - 21:00:40.4666 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4154 |                            208.85.40.50 |                                     443 |   1506
     49 | 2017:03:09 - 21:00:40.4666 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4154 |                            208.85.40.50 |                                     443 |   1506
     50 | 2017:03:09 - 21:00:40.4676 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4154 |     60
     51 | 2017:03:09 - 21:00:40.4686 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4154 |     60
     52 | 2017:03:09 - 21:00:40.4696 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4154 |     60
     53 | 2017:03:09 - 21:00:40.4706 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4154 |                            208.85.40.50 |                                     443 |   1506
     54 | 2017:03:09 - 21:00:40.4716 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4154 |                            208.85.40.50 |                                     443 |   1506
     55 | 2017:03:09 - 21:00:40.4726 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4154 |                            208.85.40.50 |                                     443 |    747
     56 | 2017:03:09 - 21:00:40.4736 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4154 |     60
     57 | 2017:03:09 - 21:00:40.4746 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4154 |     60
     58 | 2017:03:09 - 21:00:40.4756 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4154 |    667
     59 | 2017:03:09 - 21:00:41.5037 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4154 |                            208.85.40.50 |                                     443 |     54
     60 | 2017:03:09 - 21:00:41.5077 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4154 |    107
     61 | 2017:03:09 - 21:00:41.7527 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4154 |                            208.85.40.50 |                                     443 |     54
     62 | 2017:03:09 - 21:00:43.7538 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     63 | 2017:03:09 - 21:00:44.0338 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4043 |                             52.84.24.21 |                                     443 |     85
     64 | 2017:03:09 - 21:00:44.2868 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4043 |                             52.84.24.21 |                                     443 |     54
     65 | 2017:03:09 - 21:00:44.2878 |   IPv4 |    TCP | Secure TCP |                             52.84.24.21 |                                     443 |                            192.168.1.20 |                                    4043 |     60
     66 | 2017:03:09 - 21:00:44.2888 |   IPv4 |    TCP | Secure TCP |                             52.84.24.21 |                                     443 |                            192.168.1.20 |                                    4043 |     54
     67 | 2017:03:09 - 21:00:44.2898 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4043 |                             52.84.24.21 |                                     443 |     54
     68 | 2017:03:09 - 21:00:47.2900 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     69 | 2017:03:09 - 21:00:48.4881 |   IPv4 |    UDP |       DHCP |                                 0.0.0.0 |                                      68 |                         255.255.255.255 |                                      67 |    342
     70 | 2017:03:09 - 21:00:48.4901 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                             192.168.1.6 |     60
     71 | 2017:03:09 - 21:00:48.4911 |   IPv4 |    UDP |       DHCP |                                 0.0.0.0 |                                      68 |                         255.255.255.255 |                                      67 |    590
     72 | 2017:03:09 - 21:00:48.7451 |    ARP |    ARP |        ARP |                       B8:AE:6E:61:15:3B |                             192.168.1.6 |                               Broadcast |                             192.168.1.6 |     42
     73 | 2017:03:09 - 21:00:50.7452 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     74 | 2017:03:09 - 21:00:51.0272 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4154 |                            208.85.40.50 |                                     443 |     55
     75 | 2017:03:09 - 21:00:51.3032 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4154 |     60
     76 | 2017:03:09 - 21:00:51.3052 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   56020 |                             192.168.1.1 |                                      53 |     91
     77 | 2017:03:09 - 21:00:51.3062 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   57602 |                             192.168.1.1 |                                      53 |     91
     78 | 2017:03:09 - 21:00:51.3072 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   56020 |    147
     79 | 2017:03:09 - 21:00:51.3082 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   57602 |    147
     80 | 2017:03:09 - 21:00:51.3092 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   56267 |                             192.168.1.1 |                                      53 |     91
     81 | 2017:03:09 - 21:00:51.3102 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     66
     82 | 2017:03:09 - 21:00:51.3112 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   50008 |                             192.168.1.1 |                                      53 |     97
     83 | 2017:03:09 - 21:00:51.3122 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   56267 |    147
     84 | 2017:03:09 - 21:00:51.3132 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   50008 |    113
     85 | 2017:03:09 - 21:00:51.3142 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   58364 |                             192.168.1.1 |                                      53 |     97
     86 | 2017:03:09 - 21:00:51.3152 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   58364 |    125
     87 | 2017:03:09 - 21:00:51.3162 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |     66
     88 | 2017:03:09 - 21:00:51.3172 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
     89 | 2017:03:09 - 21:00:51.3182 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |    306
     90 | 2017:03:09 - 21:00:51.3192 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |     54
     91 | 2017:03:09 - 21:00:51.3212 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
     92 | 2017:03:09 - 21:00:51.3222 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
     93 | 2017:03:09 - 21:00:51.3232 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
     94 | 2017:03:09 - 21:00:51.3242 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |    523
     95 | 2017:03:09 - 21:00:51.3252 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |    180
     96 | 2017:03:09 - 21:00:51.3262 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |   1270
     97 | 2017:03:09 - 21:00:51.3272 |    ARP |    ARP |        ARP |                       B8:AE:6E:61:15:3B |                             192.168.1.6 |                               Broadcast |                             192.168.1.1 |     42
     98 | 2017:03:09 - 21:00:51.3282 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |     60
     99 | 2017:03:09 - 21:00:51.3292 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |    344
    100 | 2017:03:09 - 21:00:51.3302 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    101 | 2017:03:09 - 21:00:51.3312 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
    102 | 2017:03:09 - 21:00:51.3322 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    103 | 2017:03:09 - 21:00:51.3332 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    104 | 2017:03:09 - 21:00:51.3332 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    105 | 2017:03:09 - 21:00:51.3342 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
    106 | 2017:03:09 - 21:00:51.3352 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    107 | 2017:03:09 - 21:00:51.3362 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    108 | 2017:03:09 - 21:00:51.3372 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
    109 | 2017:03:09 - 21:00:51.3382 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    110 | 2017:03:09 - 21:00:51.3402 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    111 | 2017:03:09 - 21:00:51.3412 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
    112 | 2017:03:09 - 21:00:51.3422 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    113 | 2017:03:09 - 21:00:51.3432 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    114 | 2017:03:09 - 21:00:51.3442 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
    115 | 2017:03:09 - 21:00:51.3452 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    116 | 2017:03:09 - 21:00:51.3462 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    117 | 2017:03:09 - 21:00:51.3472 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
    118 | 2017:03:09 - 21:00:51.3492 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    119 | 2017:03:09 - 21:00:51.3502 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    120 | 2017:03:09 - 21:00:51.3522 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
    121 | 2017:03:09 - 21:00:51.3532 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    122 | 2017:03:09 - 21:00:51.3542 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    123 | 2017:03:09 - 21:00:51.3552 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
    124 | 2017:03:09 - 21:00:51.3562 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    125 | 2017:03:09 - 21:00:51.3572 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    126 | 2017:03:09 - 21:00:51.3582 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
    127 | 2017:03:09 - 21:00:51.3592 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    128 | 2017:03:09 - 21:00:51.3602 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    129 | 2017:03:09 - 21:00:51.3622 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
    130 | 2017:03:09 - 21:00:51.3622 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    131 | 2017:03:09 - 21:00:51.3632 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    132 | 2017:03:09 - 21:00:51.3642 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
    133 | 2017:03:09 - 21:00:51.3652 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    134 | 2017:03:09 - 21:00:51.3662 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    135 | 2017:03:09 - 21:00:51.3672 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
    136 | 2017:03:09 - 21:00:51.3682 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    137 | 2017:03:09 - 21:00:51.3692 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    138 | 2017:03:09 - 21:00:51.3702 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
    139 | 2017:03:09 - 21:00:51.3712 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    140 | 2017:03:09 - 21:00:51.3722 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    141 | 2017:03:09 - 21:00:51.3732 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
    142 | 2017:03:09 - 21:00:51.3742 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    143 | 2017:03:09 - 21:00:51.3752 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    144 | 2017:03:09 - 21:00:51.3762 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
    145 | 2017:03:09 - 21:00:51.3772 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    146 | 2017:03:09 - 21:00:51.3782 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    147 | 2017:03:09 - 21:00:51.3792 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
    148 | 2017:03:09 - 21:00:51.3802 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    149 | 2017:03:09 - 21:00:51.3812 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    150 | 2017:03:09 - 21:00:51.3832 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
    151 | 2017:03:09 - 21:00:51.3842 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    152 | 2017:03:09 - 21:00:51.3842 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    153 | 2017:03:09 - 21:00:51.3862 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
    154 | 2017:03:09 - 21:00:51.3872 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    155 | 2017:03:09 - 21:00:51.3882 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    156 | 2017:03:09 - 21:00:51.3892 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    157 | 2017:03:09 - 21:00:51.3902 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
    158 | 2017:03:09 - 21:00:51.3912 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    159 | 2017:03:09 - 21:00:51.3922 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    160 | 2017:03:09 - 21:00:51.3932 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
    161 | 2017:03:09 - 21:00:51.3932 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    162 | 2017:03:09 - 21:00:51.3942 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    163 | 2017:03:09 - 21:00:51.3952 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
    164 | 2017:03:09 - 21:00:51.3962 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    165 | 2017:03:09 - 21:00:51.3972 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    166 | 2017:03:09 - 21:00:51.3982 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
    167 | 2017:03:09 - 21:00:51.3992 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
    168 | 2017:03:09 - 21:00:51.3992 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
