No.     | Time                       | NetPtc | Tran P | App Portoc | Source IP                               | Source Port                             | Destation IP                            | Destation Port                          | Length
   1351 | 2017:03:09 - 21:00:55.2134 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
   1352 | 2017:03:09 - 21:00:55.2134 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
   1353 | 2017:03:09 - 21:00:55.2144 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
   1354 | 2017:03:09 - 21:00:55.2154 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
   1355 | 2017:03:09 - 21:00:55.2164 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
   1356 | 2017:03:09 - 21:00:55.2174 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
   1357 | 2017:03:09 - 21:00:55.2184 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
   1358 | 2017:03:09 - 21:00:55.2184 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
   1359 | 2017:03:09 - 21:00:55.2194 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
   1360 | 2017:03:09 - 21:00:55.2204 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
   1361 | 2017:03:09 - 21:00:55.2284 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
   1362 | 2017:03:09 - 21:00:55.2294 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
   1363 | 2017:03:09 - 21:00:55.2304 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
   1364 | 2017:03:09 - 21:00:55.2304 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
   1365 | 2017:03:09 - 21:00:55.2314 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
   1366 | 2017:03:09 - 21:00:55.2324 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
   1367 | 2017:03:09 - 21:00:55.2334 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
   1368 | 2017:03:09 - 21:00:55.2344 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
   1369 | 2017:03:09 - 21:00:55.2354 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
   1370 | 2017:03:09 - 21:00:55.2364 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
   1371 | 2017:03:09 - 21:00:55.2374 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
   1372 | 2017:03:09 - 21:00:55.2374 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
   1373 | 2017:03:09 - 21:00:55.2384 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
   1374 | 2017:03:09 - 21:00:55.2394 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4154 |                            208.85.40.50 |                                     443 |    843
   1375 | 2017:03:09 - 21:00:55.2404 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   50795 |                             192.168.1.1 |                                      53 |     75
   1376 | 2017:03:09 - 21:00:55.2414 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
   1377 | 2017:03:09 - 21:00:55.2424 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
   1378 | 2017:03:09 - 21:00:55.2434 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
   1379 | 2017:03:09 - 21:00:55.2434 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
