     39 | 2017:03:09 - 20:52:58.8572 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    4016 |     60
     40 | 2017:03:09 - 20:52:58.8582 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    4017 |     58
     41 | 2017:03:09 - 20:52:58.8592 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4017 |                          173.193.194.73 |                                      80 |     54
     42 | 2017:03:09 - 20:52:58.8602 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4017 |                          173.193.194.73 |                                      80 |    888
     43 | 2017:03:09 - 20:52:58.8612 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     44 | 2017:03:09 - 20:53:00.0233 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    4017 |     54
     45 | 2017:03:09 - 20:53:00.0283 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    4017 |    679
     46 | 2017:03:09 - 20:53:00.0293 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4017 |                          173.193.194.73 |                                      80 |     54
     47 | 2017:03:09 - 20:53:00.2993 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    4017 |     54
     48 | 2017:03:09 - 20:53:00.3043 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4017 |                          173.193.194.73 |                                      80 |     54
     49 | 2017:03:09 - 20:53:00.3053 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    4017 |     60
     50 | 2017:03:09 - 20:53:00.5763 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4018 |                          173.193.194.73 |                                      80 |     66
     51 | 2017:03:09 - 20:53:00.5773 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    4018 |     58
     52 | 2017:03:09 - 20:53:00.5783 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4018 |                          173.193.194.73 |                                      80 |     54
     53 | 2017:03:09 - 20:53:00.5793 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4018 |                          173.193.194.73 |                                      80 |    888
     54 | 2017:03:09 - 20:53:00.5803 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    4018 |     54
     55 | 2017:03:09 - 20:53:00.5813 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    4018 |    679
     56 | 2017:03:09 - 20:53:00.5823 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    4018 |     54
     57 | 2017:03:09 - 20:53:00.5833 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4018 |                          173.193.194.73 |                                      80 |     54
     58 | 2017:03:09 - 20:53:00.5843 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4018 |                          173.193.194.73 |                                      80 |     54
     59 | 2017:03:09 - 20:53:00.5853 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    4018 |     54
     60 | 2017:03:09 - 20:53:00.5863 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     61 | 2017:03:09 - 20:53:03.5875 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     62 | 2017:03:09 - 20:53:04.5875 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   65227 |                             192.168.1.1 |                                      53 |     70
     63 | 2017:03:09 - 20:53:04.8885 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   65227 |     86
     64 | 2017:03:09 - 20:53:06.8886 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     65 | 2017:03:09 - 20:53:09.8888 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     66 | 2017:03:09 - 20:53:12.8900 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4019 |                          173.193.194.73 |                                      80 |     66
     67 | 2017:03:09 - 20:53:13.1600 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    4019 |     66
     68 | 2017:03:09 - 20:53:13.4310 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4019 |                          173.193.194.73 |                                      80 |     54
     69 | 2017:03:09 - 20:53:13.4320 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4019 |                          173.193.194.73 |                                      80 |    888
     70 | 2017:03:09 - 20:53:13.4330 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    4019 |     54
     71 | 2017:03:09 - 20:53:13.4340 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    4019 |    679
     72 | 2017:03:09 - 20:53:13.4350 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    4019 |     54
     73 | 2017:03:09 - 20:53:13.4360 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4019 |                          173.193.194.73 |                                      80 |     54
     74 | 2017:03:09 - 20:53:13.4370 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4019 |                          173.193.194.73 |                                      80 |     54
     75 | 2017:03:09 - 20:53:13.4380 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    4019 |     54
     76 | 2017:03:09 - 20:53:13.4390 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     77 | 2017:03:09 - 20:53:17.4393 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     78 | 2017:03:09 - 20:53:20.4414 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     79 | 2017:03:09 - 20:53:23.4416 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     80 | 2017:03:09 - 20:53:27.4428 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     81 | 2017:03:09 - 20:53:30.4430 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     82 | 2017:03:09 - 20:53:32.4431 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
     83 | 2017:03:09 - 20:53:33.2932 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     84 | 2017:03:09 - 20:53:33.2942 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4020 |                            208.85.40.50 |                                     443 |     66
     85 | 2017:03:09 - 20:53:33.2952 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   51273 |                             192.168.1.1 |                                      53 |     75
     86 | 2017:03:09 - 20:53:33.2962 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   51273 |    107
     87 | 2017:03:09 - 20:53:33.2982 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   60072 |                             192.168.1.1 |                                      53 |     75
     88 | 2017:03:09 - 20:53:33.2992 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   60072 |    107
     89 | 2017:03:09 - 20:53:33.3002 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4020 |     62
     90 | 2017:03:09 - 20:53:33.3012 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4020 |                            208.85.40.50 |                                     443 |     54
     91 | 2017:03:09 - 20:53:33.3022 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4020 |                            208.85.40.50 |                                     443 |    290
     92 | 2017:03:09 - 20:53:33.3032 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4020 |     54
     93 | 2017:03:09 - 20:53:33.3032 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4020 |    219
     94 | 2017:03:09 - 20:53:33.3042 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4020 |                            208.85.40.50 |                                     443 |    129
     95 | 2017:03:09 - 20:53:33.3052 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4020 |                            208.85.40.50 |                                     443 |   1506
     96 | 2017:03:09 - 20:53:33.3062 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4020 |                            208.85.40.50 |                                     443 |   1506
     97 | 2017:03:09 - 20:53:33.3072 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4020 |                            208.85.40.50 |                                     443 |     99
     98 | 2017:03:09 - 20:53:33.3082 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4020 |     60
     99 | 2017:03:09 - 20:53:33.3102 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4020 |     60
    100 | 2017:03:09 - 20:53:33.3112 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4020 |     60
    101 | 2017:03:09 - 20:53:33.3122 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4020 |     60
    102 | 2017:03:09 - 20:53:33.3132 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4020 |    571
    103 | 2017:03:09 - 20:53:33.3142 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4020 |   1506
    104 | 2017:03:09 - 20:53:33.3152 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4020 |                            208.85.40.50 |                                     443 |     54
    105 | 2017:03:09 - 20:53:33.3172 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4020 |   1506
    106 | 2017:03:09 - 20:53:33.3182 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4020 |   1506
